Experiment,ARIMA_Order,LSTM_Units,ARIMA_MAE,Hybrid_MAE,Improvement_%
Experiment_1_ARIMA511_LSTM64,"(5, 1, 1)",[64],0.35015098241151243,0.3510360145795996,-0.2527572997202205
Experiment_2_ARIMA310_LSTM128_64,"(3, 1, 0)","[128, 64]",0.3503195322551401,0.3507425404244466,-0.12074923901142358
Experiment_3_SARIMA_LSTM96_48,"(1, 1, 1)","[96, 48]",0.28375426642685553,0.2843450948345968,-0.20821833454038058
